po_id,supplier_id,sku_id,order_date,promised_delivery_date,actual_delivery_date,ordered_qty,received_qty,defect_qty,unit_cost_inr,po_value_inr,delay_days,po_status,fill_rate,defect_rate,is_delayed,is_cancelled,order_month,order_quarter,order_year
PO00001,SUP001,SKU002,2024-10-22,2024-10-29,2024-10-29,576,560,11,113.49,65370.24,0.0,Delivered,0.9722,0.0196,0,0,2024-10,2024Q4,2024
PO00002,SUP001,SKU009,2024-07-04,2024-07-11,2024-07-10,1063,1056,3,98.91,105141.33,0.0,Partial,0.9934,0.0028,0,0,2024-07,2024Q3,2024
PO00003,SUP001,SKU002,2023-11-06,2023-11-13,2023-11-11,4833,4593,27,113.49,548497.17,0.0,Delivered,0.9503,0.0059,0,0,2023-11,2023Q4,2023
PO00004,SUP001,SKU004,2023-05-18,2023-05-25,2023-05-23,1773,1708,24,214.7,380663.1,0.0,Delivered,0.9633,0.0141,0,0,2023-05,2023Q2,2023
PO00005,SUP001,SKU001,2024-10-11,2024-10-18,2024-10-17,916,874,4,233.46,213849.36,0.0,Delivered,0.9541,0.0046,0,0,2024-10,2024Q4,2024
PO00006,SUP001,SKU001,2023-12-08,2023-12-15,2023-12-14,1823,1799,15,233.46,425597.58,0.0,Delivered,0.9868,0.0083,0,0,2023-12,2023Q4,2023
PO00007,SUP001,SKU007,2023-04-25,2023-05-02,2023-05-02,4969,4729,52,104.53,519409.57,0.0,Partial,0.9517,0.011,0,0,2023-04,2023Q2,2023
PO00008,SUP001,SKU009,2023-05-11,2023-05-18,2023-05-18,3431,3295,6,98.91,339360.21,0.0,Partial,0.9604,0.0018,0,0,2023-05,2023Q2,2023
PO00009,SUP001,SKU001,2024-02-21,2024-02-28,2024-02-28,1831,1828,32,233.46,427465.26,0.0,Delivered,0.9984,0.0175,0,0,2024-02,2024Q1,2024
PO00010,SUP001,SKU001,2023-07-03,2023-07-10,2023-07-09,2532,2439,5,233.46,591120.72,0.0,Delivered,0.9633,0.0021,0,0,2023-07,2023Q3,2023
PO00011,SUP001,SKU001,2024-04-26,2024-05-03,2024-05-02,3364,3247,14,233.46,785359.44,0.0,Delivered,0.9652,0.0043,0,0,2024-04,2024Q2,2024
PO00012,SUP001,SKU009,2024-11-06,2024-11-13,2024-11-13,2786,2695,36,98.91,275563.26,0.0,Delivered,0.9673,0.0134,0,0,2024-11,2024Q4,2024
PO00013,SUP001,SKU010,2023-12-06,2023-12-13,2023-12-12,1962,1920,1,218.56,428814.72,0.0,Delivered,0.9786,0.0005,0,0,2023-12,2023Q4,2023
PO00014,SUP001,SKU001,2024-03-20,2024-03-27,2024-03-26,4689,4481,17,233.46,1094693.94,0.0,Delivered,0.9556,0.0038,0,0,2024-03,2024Q1,2024
PO00015,SUP001,SKU004,2024-03-22,2024-03-29,,2705,0,0,214.7,580763.5,,Cancelled,0.0,0.0,0,1,2024-03,2024Q1,2024
PO00016,SUP001,SKU009,2024-01-08,2024-01-15,2024-01-14,3071,3019,54,98.91,303752.61,0.0,Partial,0.9831,0.0179,0,0,2024-01,2024Q1,2024
PO00017,SUP001,SKU007,2023-11-13,2023-11-20,2023-11-18,2922,2856,37,104.53,305436.66,0.0,Partial,0.9774,0.013,0,0,2023-11,2023Q4,2023
PO00018,SUP001,SKU004,2024-11-24,2024-12-01,2024-11-29,2965,2876,17,214.7,636585.5,0.0,Delivered,0.97,0.0059,0,0,2024-11,2024Q4,2024
PO00019,SUP001,SKU003,2024-03-16,2024-03-23,2024-03-22,4309,4188,42,87.63,377597.67,0.0,Delivered,0.9719,0.01,0,0,2024-03,2024Q1,2024
PO00020,SUP001,SKU005,2024-11-05,2024-11-12,2024-11-10,3245,3097,14,132.91,431292.95,0.0,Delivered,0.9544,0.0045,0,0,2024-11,2024Q4,2024
PO00021,SUP001,SKU008,2023-08-19,2023-08-26,2023-08-26,2505,2502,38,273.71,685643.55,0.0,Delivered,0.9988,0.0152,0,0,2023-08,2023Q3,2023
PO00022,SUP001,SKU001,2024-02-29,2024-03-07,2024-03-05,3645,3552,46,233.46,850961.7,0.0,Partial,0.9745,0.013,0,0,2024-02,2024Q1,2024
PO00023,SUP001,SKU002,2023-04-20,2023-04-27,2023-04-25,4743,4616,84,113.49,538283.07,0.0,Delivered,0.9732,0.0182,0,0,2023-04,2023Q2,2023
PO00024,SUP001,SKU009,2024-04-12,2024-04-19,2024-04-17,3099,3091,37,98.91,306522.09,0.0,Delivered,0.9974,0.012,0,0,2024-04,2024Q2,2024
PO00025,SUP001,SKU005,2024-03-12,2024-03-19,2024-03-19,4388,4267,71,132.91,583209.08,0.0,Delivered,0.9724,0.0166,0,0,2024-03,2024Q1,2024
PO00026,SUP001,SKU009,2024-06-17,2024-06-24,2024-06-23,1134,1117,7,98.91,112163.94,0.0,Partial,0.985,0.0063,0,0,2024-06,2024Q2,2024
PO00027,SUP001,SKU009,2023-03-24,2023-03-31,2023-03-29,1751,1725,14,98.91,173191.41,0.0,Partial,0.9852,0.0081,0,0,2023-03,2023Q1,2023
PO00028,SUP001,SKU010,2024-04-22,2024-04-29,2024-04-28,3690,3672,51,218.56,806486.4,0.0,Delivered,0.9951,0.0139,0,0,2024-04,2024Q2,2024
PO00029,SUP001,SKU009,2024-01-25,2024-02-01,2024-01-31,3694,3666,30,98.91,365373.54,0.0,Delivered,0.9924,0.0082,0,0,2024-01,2024Q1,2024
PO00030,SUP001,SKU007,2024-09-09,2024-09-16,2024-09-15,4070,3965,53,104.53,425437.1,0.0,Partial,0.9742,0.0134,0,0,2024-09,2024Q3,2024
PO00031,SUP001,SKU001,2023-06-19,2023-06-26,2023-06-24,4875,4637,52,233.46,1138117.5,0.0,Partial,0.9512,0.0112,0,0,2023-06,2023Q2,2023
PO00032,SUP001,SKU006,2023-03-27,2023-04-03,2023-04-02,1988,1893,8,247.55,492129.4,0.0,Partial,0.9522,0.0042,0,0,2023-03,2023Q1,2023
PO00033,SUP001,SKU001,2023-12-12,2023-12-19,2023-12-18,2566,2544,38,233.46,599058.36,0.0,Delivered,0.9914,0.0149,0,0,2023-12,2023Q4,2023
PO00034,SUP001,SKU003,2023-12-25,2024-01-01,2024-01-02,754,752,0,87.63,66073.02,1.0,Partial,0.9973,0.0,1,0,2023-12,2023Q4,2023
PO00035,SUP001,SKU010,2023-09-02,2023-09-09,2023-09-07,2285,2223,16,218.56,499409.6,0.0,Partial,0.9729,0.0072,0,0,2023-09,2023Q3,2023
