snapshot_date,sku_id,warehouse_id,opening_stock,units_received,units_sold,closing_stock,days_of_inventory,stockout_flag,reorder_triggered
2023-01-01,SKU001,WH-MUM,1317,0,233,1084,32.6,0,0
2023-01-01,SKU001,WH-DEL,1108,0,175,933,37.3,0,0
2023-01-01,SKU001,WH-BLR,1383,0,92,1291,98.2,0,0
2023-01-01,SKU002,WH-MUM,1309,0,199,1110,39.0,0,0
2023-01-01,SKU002,WH-DEL,758,0,113,645,40.0,0,0
2023-01-01,SKU002,WH-BLR,433,0,87,346,27.8,0,0
2023-01-01,SKU003,WH-MUM,706,1434,134,2006,104.8,0,1
2023-01-01,SKU003,WH-DEL,1248,0,135,1113,57.7,0,0
2023-01-01,SKU003,WH-BLR,1199,0,93,1106,83.2,0,0
2023-01-01,SKU004,WH-MUM,546,3790,171,4165,170.5,0,1
2023-01-01,SKU004,WH-DEL,1149,0,136,1013,52.1,0,0
2023-01-01,SKU004,WH-BLR,1082,0,149,933,43.8,0,0
2023-01-01,SKU005,WH-MUM,1439,0,208,1231,41.4,0,0
2023-01-01,SKU005,WH-DEL,899,2931,154,3676,167.1,0,1
2023-01-01,SKU005,WH-BLR,509,2931,141,3299,163.8,0,1
2023-01-01,SKU006,WH-MUM,1141,0,218,923,29.6,0,0
2023-01-01,SKU006,WH-DEL,1082,0,101,981,68.0,0,0
2023-01-01,SKU006,WH-BLR,503,0,93,410,30.9,0,0
2023-01-01,SKU007,WH-MUM,604,0,185,419,15.9,0,0
2023-01-01,SKU007,WH-DEL,742,0,120,622,36.3,0,0
2023-01-01,SKU007,WH-BLR,1293,0,75,1218,113.7,0,0
2023-01-01,SKU008,WH-MUM,887,0,211,676,22.4,0,0
2023-01-01,SKU008,WH-DEL,400,0,161,239,10.4,0,0
2023-01-01,SKU008,WH-BLR,1293,0,113,1180,73.1,0,0
2023-01-01,SKU009,WH-MUM,1282,0,191,1091,40.0,0,0
2023-01-01,SKU009,WH-DEL,1469,0,161,1308,56.9,0,0
2023-01-01,SKU009,WH-BLR,845,0,100,745,52.1,0,0
2023-01-01,SKU010,WH-MUM,808,2631,144,3295,160.2,0,1
2023-01-01,SKU010,WH-DEL,777,2631,174,3234,130.1,0,1
2023-01-01,SKU010,WH-BLR,656,2631,118,3169,188.0,0,1
2023-01-01,SKU011,WH-MUM,960,0,87,873,70.2,0,0
2023-01-01,SKU011,WH-DEL,1194,0,99,1095,77.4,0,0
2023-01-01,SKU011,WH-BLR,674,0,42,632,105.3,0,0
2023-01-01,SKU012,WH-MUM,731,0,57,674,82.8,0,0
2023-01-01,SKU012,WH-DEL,1355,0,69,1286,130.5,0,0
2023-01-01,SKU012,WH-BLR,892,0,66,826,87.6,0,0
2023-01-01,SKU013,WH-MUM,1493,0,114,1379,84.7,0,0
2023-01-01,SKU013,WH-DEL,1464,0,104,1360,91.5,0,0
2023-01-01,SKU013,WH-BLR,533,1798,51,2280,312.9,0,1
2023-01-01,SKU014,WH-MUM,1213,0,85,1128,92.9,0,0
2023-01-01,SKU014,WH-DEL,330,1835,49,2116,302.3,0,1
2023-01-01,SKU014,WH-BLR,437,0,77,360,32.7,0,0
2023-01-01,SKU015,WH-MUM,840,2712,110,3442,219.0,0,1
2023-01-01,SKU015,WH-DEL,638,2712,113,3237,200.5,0,1
2023-01-01,SKU015,WH-BLR,1182,0,59,1123,133.2,0,0
2023-01-01,SKU016,WH-MUM,585,0,94,491,36.6,0,0
2023-01-01,SKU016,WH-DEL,353,868,88,1133,90.1,0,1
2023-01-01,SKU016,WH-BLR,738,0,65,673,72.5,0,0
2023-01-01,SKU017,WH-MUM,1256,0,108,1148,74.4,0,0
2023-01-01,SKU017,WH-DEL,404,1664,93,1975,148.7,0,1
2023-01-01,SKU017,WH-BLR,1355,0,61,1294,148.5,0,0
2023-01-01,SKU018,WH-MUM,1243,0,128,1115,61.0,0,0
2023-01-01,SKU018,WH-DEL,1407,0,90,1317,102.4,0,0
2023-01-01,SKU018,WH-BLR,651,2007,52,2606,350.8,0,1
2023-01-01,SKU019,WH-MUM,516,3004,125,3395,190.1,0,1
2023-01-01,SKU019,WH-DEL,482,3004,45,3441,535.3,0,1
2023-01-01,SKU019,WH-BLR,1141,0,42,1099,183.2,0,0
2023-01-01,SKU020,WH-MUM,412,2432,140,2704,135.2,0,1
2023-01-01,SKU020,WH-DEL,624,0,111,513,32.4,0,0
2023-01-01,SKU020,WH-BLR,356,2432,74,2714,256.7,0,1
2023-01-01,SKU021,WH-MUM,831,0,158,673,29.8,0,0
2023-01-01,SKU021,WH-DEL,494,1410,171,1733,70.9,0,1
2023-01-01,SKU021,WH-BLR,1417,0,128,1289,70.5,0,0
2023-01-01,SKU022,WH-MUM,471,2526,100,2897,202.8,0,1
2023-01-01,SKU022,WH-DEL,781,2526,134,3173,165.8,0,1
2023-01-01,SKU022,WH-BLR,1056,0,78,978,87.8,0,0
2023-01-01,SKU023,WH-MUM,1470,0,188,1282,47.7,0,0
2023-01-01,SKU023,WH-DEL,1350,0,163,1187,51.0,0,0
2023-01-01,SKU023,WH-BLR,1333,0,59,1274,151.2,0,0
2023-01-01,SKU024,WH-MUM,1497,0,145,1352,65.3,0,0
2023-01-01,SKU024,WH-DEL,1218,0,64,1154,126.2,0,0
2023-01-01,SKU024,WH-BLR,600,1532,72,2060,200.3,0,1
2023-01-01,SKU025,WH-MUM,529,2996,189,3336,123.6,0,1
2023-01-01,SKU025,WH-DEL,471,2996,176,3291,130.9,0,1
2023-01-01,SKU025,WH-BLR,1210,0,126,1084,60.2,0,0
2023-01-01,SKU026,WH-MUM,345,1935,146,2134,102.3,0,1
2023-01-01,SKU026,WH-DEL,1400,0,144,1256,61.1,0,0
2023-01-01,SKU026,WH-BLR,1331,0,130,1201,64.7,0,0
2023-01-01,SKU027,WH-MUM,893,3744,216,4421,143.3,0,1
2023-01-01,SKU027,WH-DEL,1340,0,73,1267,121.5,0,0
2023-01-01,SKU027,WH-BLR,362,3744,66,4040,428.5,0,1
2023-01-01,SKU028,WH-MUM,444,0,121,323,18.7,0,0
2023-01-01,SKU028,WH-DEL,1419,0,149,1270,59.7,0,0
2023-01-01,SKU028,WH-BLR,1117,0,47,1070,159.4,0,0
2023-01-01,SKU029,WH-MUM,832,0,134,698,36.5,0,0
2023-01-01,SKU029,WH-DEL,922,0,184,738,28.1,0,0
2023-01-01,SKU029,WH-BLR,1395,0,68,1327,136.6,0,0
2023-01-01,SKU030,WH-MUM,583,1486,208,1861,62.6,0,1
2023-01-01,SKU030,WH-DEL,629,1486,153,1962,89.8,0,1
