order_id,order_date,sku_id,category,channel,city,units_ordered,units_fulfilled,units_returned,selling_price_inr,gross_revenue_inr,commission_pct,commission_inr,net_revenue_inr,fulfillment_rate,fulfillment_status
ORD000305,2023-01-01,SKU029,Snacks,Amazon,Pune,67,66,1,405.47,26761.02,0.18,4816.98,21944.04,0.9862,Partial
ORD001236,2023-01-01,SKU004,Staples,Flipkart,Chennai,61,57,1,377.44,21514.08,0.15,3227.11,18286.97,0.9358,Partial
ORD001021,2023-01-01,SKU006,Staples,Flipkart,Delhi,23,22,0,388.68,8550.96,0.15,1282.64,7268.32,0.9681,Partial
ORD001806,2023-01-01,SKU033,Beverages,Amazon,Delhi,24,22,0,617.04,13574.88,0.18,2443.48,11131.4,0.949,Partial
ORD000362,2023-01-01,SKU026,Snacks,Amazon,Pune,28,26,0,359.69,9351.94,0.18,1683.35,7668.59,0.9429,Partial
ORD002304,2023-01-01,SKU003,Staples,Modern Trade,Delhi,259,238,4,126.79,30176.02,0.1,3017.6,27158.42,0.9218,Partial
ORD001658,2023-01-02,SKU018,Personal Care,Amazon,Lucknow,61,56,3,313.71,17567.76,0.18,3162.2,14405.56,0.9334,Partial
ORD000779,2023-01-02,SKU010,Staples,Own Website,Kolkata,25,24,0,382.98,9191.52,0.02,183.83,9007.69,0.9671,Partial
ORD000477,2023-01-02,SKU029,Snacks,Modern Trade,Hyderabad,283,265,7,405.47,107449.55,0.1,10744.96,96704.59,0.9386,Partial
ORD001268,2023-01-03,SKU027,Snacks,Flipkart,Delhi,34,31,0,299.97,9299.07,0.15,1394.86,7904.21,0.9269,Partial
ORD001988,2023-01-03,SKU049,Household,Flipkart,Chennai,58,52,2,141.9,7378.8,0.15,1106.82,6271.98,0.9061,Partial
ORD001786,2023-01-03,SKU008,Staples,Flipkart,Mumbai,12,11,0,483.06,5313.66,0.15,797.05,4516.61,0.9956,Partial
ORD001371,2023-01-03,SKU019,Personal Care,Amazon,Bengaluru,74,69,4,315.95,21800.55,0.18,3924.1,17876.45,0.9367,Partial
ORD001516,2023-01-04,SKU005,Staples,Amazon,Chennai,76,74,1,225.23,16667.02,0.18,3000.06,13666.96,0.9771,Partial
ORD001730,2023-01-04,SKU002,Staples,Flipkart,Chennai,69,64,1,164.7,10540.8,0.15,1581.12,8959.68,0.9364,Partial
ORD001443,2023-01-04,SKU020,Personal Care,Amazon,Mumbai,70,65,3,591.63,38455.95,0.18,6922.07,31533.88,0.9298,Partial
ORD001281,2023-01-05,SKU014,Personal Care,Amazon,Kolkata,56,52,3,476.88,24797.76,0.18,4463.6,20334.16,0.9325,Partial
ORD000538,2023-01-05,SKU026,Snacks,Own Website,Delhi,14,13,0,359.69,4675.97,0.02,93.52,4582.45,0.9838,Partial
ORD000460,2023-01-05,SKU028,Snacks,Flipkart,Hyderabad,37,35,1,487.67,17068.45,0.15,2560.27,14508.18,0.9477,Partial
ORD002223,2023-01-05,SKU022,Snacks,Amazon,Hyderabad,110,106,3,414.2,43905.2,0.18,7902.94,36002.26,0.9659,Partial
ORD001182,2023-01-05,SKU026,Snacks,Flipkart,Ahmedabad,64,61,1,359.69,21941.09,0.15,3291.16,18649.93,0.9664,Partial
ORD001064,2023-01-05,SKU040,Beverages,Flipkart,Delhi,55,54,2,280.51,15147.54,0.15,2272.13,12875.41,0.9867,Partial
ORD000655,2023-01-06,SKU021,Snacks,Own Website,Pune,22,21,0,205.54,4316.34,0.02,86.33,4230.01,0.9613,Partial
ORD000274,2023-01-06,SKU002,Staples,Flipkart,Bengaluru,31,29,0,164.7,4776.3,0.15,716.44,4059.86,0.9404,Partial
ORD001169,2023-01-06,SKU016,Personal Care,Amazon,Mumbai,89,86,5,630.07,54186.02,0.18,9753.48,44432.54,0.9751,Partial
ORD000210,2023-01-06,SKU021,Snacks,Amazon,Bengaluru,35,32,0,205.54,6577.28,0.18,1183.91,5393.37,0.9274,Partial
ORD001440,2023-01-06,SKU015,Personal Care,Own Website,Bengaluru,6,5,0,464.63,2323.15,0.02,46.46,2276.69,0.9563,Partial
ORD001101,2023-01-06,SKU017,Personal Care,Flipkart,Delhi,49,44,2,617.3,27161.2,0.15,4074.18,23087.02,0.9064,Partial
ORD000500,2023-01-06,SKU050,Household,Amazon,Pune,58,54,2,217.14,11725.56,0.18,2110.6,9614.96,0.9422,Partial
ORD000527,2023-01-06,SKU047,Household,Amazon,Bengaluru,63,58,2,151.23,8771.34,0.18,1578.84,7192.5,0.9355,Partial
ORD000261,2023-01-07,SKU030,Snacks,Own Website,Mumbai,1,0,0,380.27,0.0,0.02,0.0,0.0,0.9848,Stockout
ORD000382,2023-01-07,SKU021,Snacks,Modern Trade,Hyderabad,374,343,10,205.54,70500.22,0.1,7050.02,63450.2,0.9195,Partial
ORD001093,2023-01-07,SKU033,Beverages,Amazon,Kolkata,56,52,2,617.04,32086.08,0.18,5775.49,26310.59,0.9299,Partial
ORD000327,2023-01-08,SKU045,Household,Modern Trade,Mumbai,547,483,24,172.4,83269.2,0.1,8326.92,74942.28,0.8835,Partial
ORD000380,2023-01-08,SKU010,Staples,Own Website,Delhi,22,21,0,382.98,8042.58,0.02,160.85,7881.73,0.9639,Partial
ORD001206,2023-01-08,SKU047,Household,Amazon,Mumbai,102,99,4,151.23,14971.77,0.18,2694.92,12276.85,0.9742,Partial
ORD000370,2023-01-08,SKU010,Staples,Amazon,Hyderabad,40,39,0,382.98,14936.22,0.18,2688.52,12247.7,0.9817,Partial
ORD002323,2023-01-09,SKU046,Household,Amazon,Delhi,93,87,4,290.1,25238.7,0.18,4542.97,20695.73,0.9373,Partial
ORD002259,2023-01-09,SKU038,Beverages,Flipkart,Bengaluru,13,12,0,365.85,4390.2,0.15,658.53,3731.67,0.9316,Partial
ORD002276,2023-01-10,SKU024,Snacks,Amazon,Ahmedabad,72,70,2,312.26,21858.2,0.18,3934.48,17923.72,0.981,Partial
ORD001301,2023-01-10,SKU022,Snacks,Amazon,Mumbai,90,83,2,414.2,34378.6,0.18,6188.15,28190.45,0.9319,Partial
ORD001280,2023-01-10,SKU014,Personal Care,Amazon,Bengaluru,69,66,3,476.88,31474.08,0.18,5665.33,25808.75,0.9629,Partial
ORD001317,2023-01-10,SKU001,Staples,Flipkart,Mumbai,40,37,0,329.76,12201.12,0.15,1830.17,10370.95,0.9418,Partial
ORD000138,2023-01-11,SKU028,Snacks,Amazon,Hyderabad,18,17,0,487.67,8290.39,0.18,1492.27,6798.12,0.9626,Partial
